Circuit: * \\psf\Margaret\BitKnitting\prototypes\LTSpice\EC\miniEC_WienBridge.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 6.3913e-007 to 6.40131e-007
Heightened Def Con from 6.40131e-007 to 6.40131e-007
Heightened Def Con from 6.40139e-007 to 6.42139e-007
Heightened Def Con from 6.56178e-007 to 6.58178e-007
Heightened Def Con from 7.06321e-007 to 7.06446e-007
Heightened Def Con from 7.06446e-007 ++++to 7.06446e-007
Heightened Def Con from 7.06452e-007 to 7.08452e-007
Heightened Def Con from 7.12141e-007 to 7.14141e-007
Heightened Def Con from 7.14168e-007 to 7.14295e-007
Heightened Def Con from 7.16722e-007 to 7.18722e-007
Heightened Def Con from 8.69728e-007 to 8.69978e-007
Heightened Def Con from 8.69978e-007 to 8.71978e-007
Heightened Def Con from 1.72883e-006 to 1.72883e-006
Heightened Def Con from 1.72883e-006 to 1.72985e-006
Heightened Def Con from 1.72985e-006 to 1.72985e-006
Heightened Def Con from 1.72985e-006 to 1.72985e-006
Heightened Def Con from 1.72985e-006 to 1.72998e-006
Heightened Def Con from 1.72998e-006 to 1.72998e-006
Heightened Def Con from 1.72998e-006 to 1.72998e-006
Heightened Def Con from 1.72998e-006 to 1.72998e-006
Heightened Def Con from 1.72998e-006 to 1.73099e-006
Heightened Def Con from 1.731e-006 to 1.731e-006
Heightened Def Con from 1.731e-006 +to 1.731e-006
Heightened Def Con from 1.731e-006 ++to 1.73101e-006
Heightened Def Con from 1.73101e-006 to 1.73101e-006
Heightened Def Con from 1.73101e-006 to 1.73101e-006
Heightened Def Con from 1.73101e-006 to 1.73101e-006
Heightened Def Con from 1.73101e-006 to 1.73101e-006
Heightened Def Con from 1.73101e-006 to 1.73101e-006
Heightened Def Con from 1.73101e-006 to 1.73101e-006
Heightened Def Con from 1.73102e-006 to 1.73102e-006
Heightened Def Con from 1.73102e-006 to 1.73102e-006
Heightened Def Con from 1.73102e-006 to 1.73102e-006
Heightened Def Con from 1.73102e-006 to 1.73102e-006
Heightened Def Con from 1.73102e-006 to 1.73202e-006
Heightened Def Con from 1.73202e-006 +to 1.73202e-006
Heightened Def Con from 1.73202e-006 to 1.73202e-006
Heightened Def Con from 1.73202e-006 to 1.73202e-006
Heightened Def Con from 1.73202e-006 +to 1.73202e-006
Heightened Def Con from 1.73202e-006 ++to 1.73202e-006
Heightened Def Con from 1.73202e-006 +to 1.73214e-006
Heightened Def Con from 1.73214e-006 to 1.73214e-006
Heightened Def Con from 1.73214e-006 to 1.73214e-006
Heightened Def Con from 1.73214e-006 to 1.73214e-006
Heightened Def Con from 1.73214e-006 to 1.73214e-006
Heightened Def Con from 1.73214e-006 to 1.73214e-006
Heightened Def Con from 1.73214e-006 to 1.73327e-006
Heightened Def Con from 1.73327e-006 to 1.7334e-006
Heightened Def Con from 1.7334e-006 to 1.73441e-006
Heightened Def Con from 1.73442e-006 to 1.73442e-006
Heightened Def Con from 1.73442e-006 to 1.73554e-006
Heightened Def Con from 1.73554e-006 +to 1.73554e-006
Heightened Def Con from 1.73554e-006 +to 1.73567e-006
Heightened Def Con from 1.73567e-006 to 1.73567e-006
Heightened Def Con from 1.73567e-006 to 1.73567e-006
Heightened Def Con from 1.73567e-006 to 1.73567e-006
Heightened Def Con from 1.73567e-006 to 1.73567e-006
Heightened Def Con from 1.73567e-006 +to 1.73567e-006
Heightened Def Con from 1.73567e-006 to 1.7358e-006
Heightened Def Con from 1.7358e-006 to 1.73581e-006
Heightened Def Con from 1.73583e-006 ++to 1.73583e-006
Heightened Def Con from 1.73583e-006 to 1.73583e-006
Heightened Def Con from 1.73583e-006 to 1.73685e-006
Heightened Def Con from 1.73685e-006 +to 1.73685e-006
Heightened Def Con from 1.73685e-006 to 1.73698e-006
Heightened Def Con from 1.73698e-006 to 1.73698e-006
Heightened Def Con from 1.73698e-006 to 1.73698e-006
Heightened Def Con from 1.73698e-006 to 1.73698e-006
Heightened Def Con from 1.73698e-006 +to 1.7371e-006
Heightened Def Con from 1.73713e-006 to 1.73713e-006
Heightened Def Con from 1.73713e-006 ++to 1.73713e-006
Heightened Def Con from 1.73713e-006 to 1.73713e-006
Heightened Def Con from 1.73713e-006 ++to 1.73713e-006
Heightened Def Con from 1.73713e-006 to 1.73826e-006
Heightened Def Con from 1.7383e-006 +to 1.73842e-006
Heightened Def Con from 1.73867e-006 to 1.73967e-006
Heightened Def Con from 1.73967e-006 to 1.74067e-006
Heightened Def Con from 1.74067e-006 to 1.7408e-006
Heightened Def Con from 1.7408e-006 to 1.74182e-006
Heightened Def Con from 1.74182e-006 to 1.74284e-006
Heightened Def Con from 1.74284e-006 to 1.74284e-006
Heightened Def Con from 1.74284e-006 to 1.74297e-006
Heightened Def Con from 1.74297e-006 to 1.74409e-006
Heightened Def Con from 1.74413e-006 to 1.74425e-006
Heightened Def Con from 1.74425e-006 +to 1.74425e-006
Heightened Def Con from 1.74425e-006 to 1.74425e-006
Heightened Def Con from 1.74425e-006 to 1.74426e-006
Heightened Def Con from 1.74426e-006 to 1.74538e-006
Heightened Def Con from 1.74539e-006 to 1.74552e-006
Heightened Def Con from 1.74552e-006 to 1.74564e-006
Heightened Def Con from 1.74564e-006 to 1.74577e-006
Heightened Def Con from 1.74577e-006 to 1.74677e-006
Heightened Def Con from 1.74677e-006 to 1.74677e-006
Heightened Def Con from 1.74677e-006 to 1.74677e-006
Heightened Def Con from 1.74677e-006 to 1.74778e-006
Heightened Def Con from 1.74779e-006 to 1.74779e-006
Heightened Def Con from 1.74779e-006 to 1.74779e-006
Heightened Def Con from 1.74779e-006 to 1.74891e-006
Heightened Def Con from 1.74893e-006 to 1.74905e-006
Heightened Def Con from 1.74905e-006 to 1.74905e-006
Heightened Def Con from 1.74905e-006 to 1.74918e-006
Heightened Def Con from 1.74918e-006 to 1.7503e-006
Heightened Def Con from 1.75105e-006 +to 1.75105e-006
Heightened Def Con from 1.75105e-006 to 1.75118e-006
Heightened Def Con from 1.75118e-006 to 1.75118e-006
Heightened Def Con from 1.75118e-006 to 1.75118e-006
Heightened Def Con from 1.75118e-006 to 1.7523e-006
Heightened Def Con from 1.75234e-006 to 1.75234e-006
Heightened Def Con from 1.75234e-006 to 1.75347e-006
Heightened Def Con from 1.7535e-006 to 1.7535e-006
Heightened Def Con from 1.7535e-006 to 1.75362e-006
Heightened Def Con from 1.75362e-006 to 1.75362e-006
Heightened Def Con from 1.75362e-006 to 1.75362e-006
Heightened Def Con from 1.75362e-006 to 1.75362e-006
Heightened Def Con from 1.75362e-006 +to 1.75375e-006
Heightened Def Con from 1.754e-006 to 1.754e-006
Heightened Def Con from 1.754e-006 to 1.75401e-006
Heightened Def Con from 1.75401e-006 to 1.75403e-006
Heightened Def Con from 1.75403e-006 to 1.75403e-006
Heightened Def Con from 1.75403e-006 +to 1.75403e-006
Heightened Def Con from 1.75403e-006 to 1.75416e-006
Heightened Def Con from 1.75416e-006 to 1.75428e-006
Heightened Def Con from 1.75428e-006 to 1.75428e-006
Heightened Def Con from 1.75428e-006 to 1.75441e-006
Heightened Def Con from 1.75441e-006 +to 1.75453e-006
Heightened Def Con from 1.75479e-006 to 1.75479e-006
Heightened Def Con from 1.75479e-006 to 1.75492e-006
Heightened Def Con from 1.75492e-006 to 1.75492e-006
Heightened Def Con from 1.75492e-006 to 1.75492e-006
Heightened Def Con from 1.75492e-006 to 1.75492e-006
Heightened Def Con from 1.75492e-006 to 1.75492e-006
Heightened Def Con from 1.75492e-006 to 1.75492e-006
Heightened Def Con from 1.75492e-006 to 1.75492e-006
Heightened Def Con from 1.75492e-006 to 1.75492e-006
Heightened Def Con from 1.75492e-006 to 1.75492e-006
Heightened Def Con from 1.75492e-006 to 1.75492e-006
Heightened Def Con from 1.75492e-006 to 1.75492e-006
Heightened Def Con from 1.75492e-006 to 1.75492e-006
Heightened Def Con from 1.75492e-006 to 1.75492e-006
Heightened Def Con from 1.75492e-006 to 1.75492e-006
Heightened Def Con from 1.75492e-006 to 1.75592e-006
Heightened Def Con from 1.75592e-006 +to 1.75592e-006
