Circuit: * \\psf\Home\Documents\Lettuce Buddy HW\HealthyEC\LTSpice\miniEC_WienBridgeWithFG_V2.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 7.16688e-007 to 7.16688e-007
Heightened Def Con from 7.16688e-007 to 7.16688e-007
Heightened Def Con from 7.16688e-007 to 7.18688e-007
Heightened Def Con from 7.28481e-007 to 7.30481e-007
Heightened Def Con from 7.43563e-007 to 7.43563e-007
Heightened Def Con from 7.43563e-007 to 7.43563e-007
Heightened Def Con from 7.43563e-007 +++++to 7.44563e-007
Heightened Def Con from 7.44563e-007 to 7.46563e-007
Heightened Def Con from 8.26106e-007 to 8.26106e-007
Heightened Def Con from 8.26107e-007 to 8.28107e-007
Heightened Def Con from 8.92616e-007 to 8.92616e-007
Heightened Def Con from 8.92616e-007 +to 8.92616e-007
Heightened Def Con from 8.92616e-007 +to 8.92632e-007
Heightened Def Con from 9.13904e-007 to 9.13935e-007
Heightened Def Con from 9.14223e-007 to 9.16223e-007
Heightened Def Con from 1.72752e-006 to 1.72752e-006
Heightened Def Con from 1.72752e-006 ++to 1.72752e-006
Heightened Def Con from 1.72752e-006 to 1.72765e-006
Heightened Def Con from 1.72765e-006 ++to 1.72765e-006
Heightened Def Con from 1.72765e-006 +to 1.72777e-006
Heightened Def Con from 1.72777e-006 to 1.7279e-006
Heightened Def Con from 1.7279e-006 to 1.72902e-006
Heightened Def Con from 1.72902e-006 ++to 1.72902e-006
Heightened Def Con from 1.72902e-006 to 1.72915e-006
Heightened Def Con from 1.72915e-006 to 1.72928e-006
Heightened Def Con from 1.72928e-006 to 1.72928e-006
Heightened Def Con from 1.72928e-006 to 1.72928e-006
Heightened Def Con from 1.72928e-006 to 1.7294e-006
Heightened Def Con from 1.7294e-006 to 1.7294e-006
Heightened Def Con from 1.7294e-006 to 1.72953e-006
Heightened Def Con from 1.72953e-006 to 1.72965e-006
Heightened Def Con from 1.72965e-006 to 1.73067e-006
Heightened Def Con from 1.73067e-006 to 1.7308e-006
Heightened Def Con from 1.7308e-006 +to 1.7308e-006
Heightened Def Con from 1.7308e-006 to 1.7308e-006
Heightened Def Con from 1.7308e-006 to 1.7308e-006
Heightened Def Con from 1.7308e-006 to 1.7308e-006
Heightened Def Con from 1.7308e-006 to 1.7318e-006
Heightened Def Con from 1.7318e-006 +to 1.73192e-006
Heightened Def Con from 1.73192e-006 to 1.73192e-006
Heightened Def Con from 1.73192e-006 to 1.73205e-006
Heightened Def Con from 1.73205e-006 to 1.73306e-006
Heightened Def Con from 1.73307e-006 to 1.73307e-006
Heightened Def Con from 1.73307e-006 to 1.73307e-006
Heightened Def Con from 1.73307e-006 to 1.73307e-006
Heightened Def Con from 1.73307e-006 to 1.73307e-006
Heightened Def Con from 1.73307e-006 to 1.73319e-006
Heightened Def Con from 1.73319e-006 to 1.73319e-006
Heightened Def Con from 1.73319e-006 to 1.73432e-006
Heightened Def Con from 1.73436e-006 to 1.73436e-006
Heightened Def Con from 1.73436e-006 to 1.73436e-006
Heightened Def Con from 1.73436e-006 to 1.73436e-006
Heightened Def Con from 1.73436e-006 ++++to 1.73448e-006
Heightened Def Con from 1.73451e-006 to 1.73451e-006
Heightened Def Con from 1.73451e-006 to 1.73464e-006
Heightened Def Con from 1.73464e-006 +to 1.73464e-006
Heightened Def Con from 1.73464e-006 to 1.73477e-006
Heightened Def Con from 1.73477e-006 to 1.73477e-006
Heightened Def Con from 1.73477e-006 to 1.73677e-006
Heightened Def Con from 1.7368e-006 +to 1.7368e-006
Heightened Def Con from 1.7368e-006 to 1.73692e-006
Heightened Def Con from 1.73692e-006 to 1.73692e-006
Heightened Def Con from 1.73692e-006 to 1.73692e-006
Heightened Def Con from 1.73692e-006 to 1.73692e-006
