Circuit: * \\psf\Home\Documents\Lettuce Buddy HW\HealthyEC\LTSpice\miniEC_WienBridge_Series.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 6.8911e-007 to 6.89237e-007
Heightened Def Con from 6.89247e-007 to 6.89497e-007
Heightened Def Con from 6.90882e-007 to 6.90882e-007
Heightened Def Con from 6.90882e-007 to 6.92882e-007
Heightened Def Con from 6.94835e-007 to 6.94836e-007
Heightened Def Con from 6.94836e-007 to 6.94851e-007
Heightened Def Con from 6.95048e-007 to 6.95066e-007
Heightened Def Con from 6.95132e-007 to 6.96134e-007
Heightened Def Con from 6.9701e-007 to 6.9901e-007
Heightened Def Con from 6.99055e-007 to 6.99071e-007
Heightened Def Con from 6.99071e-007 to 6.99196e-007
Heightened Def Con from 6.99197e-007 +to 6.99197e-007
Heightened Def Con from 6.99197e-007 to 6.99197e-007
Heightened Def Con from 6.99197e-007 ++to 6.99198e-007
Heightened Def Con from 6.99198e-007 +to 7.00198e-007
Heightened Def Con from 7.02278e-007 to 7.02295e-007
Heightened Def Con from 7.02299e-007 to 7.02299e-007
Heightened Def Con from 7.02299e-007 to 7.04299e-007
Heightened Def Con from 7.06719e-007 to 7.06719e-007
Heightened Def Con from 7.069e-007 to 7.07902e-007
Heightened Def Con from 7.08067e-007 to 7.08207e-007
Heightened Def Con from 7.08266e-007 to 7.08391e-007
Heightened Def Con from 7.77831e-007 +to 7.77831e-007
Heightened Def Con from 7.77831e-007 +++to 7.77831e-007
Heightened Def Con from 7.77878e-007 +to 7.7788e-007
Heightened Def Con from 7.77887e-007 to 7.77905e-007
Heightened Def Con from 7.78001e-007 to 7.78003e-007
Heightened Def Con from 7.78073e-007 +++to 7.78073e-007
Heightened Def Con from 7.78073e-007 to 7.80073e-007
Heightened Def Con from 7.80073e-007 to 7.81073e-007
Heightened Def Con from 7.81106e-007 to 7.83106e-007
Heightened Def Con from 7.83106e-007 to 7.83107e-007
Heightened Def Con from 7.83107e-007 ++to 7.83122e-007
Heightened Def Con from 7.83154e-007 to 7.83169e-007
Heightened Def Con from 7.83169e-007 to 7.83169e-007
Heightened Def Con from 7.83169e-007 +to 7.83169e-007
Heightened Def Con from 7.83169e-007 to 7.85169e-007
Heightened Def Con from 3.12386e-006 to 3.12386e-006
Heightened Def Con from 3.12386e-006 to 3.12386e-006
Heightened Def Con from 3.12386e-006 to 3.12386e-006
Heightened Def Con from 3.12386e-006 +to 3.12486e-006
Heightened Def Con from 3.12486e-006 ++to 3.12486e-006
Heightened Def Con from 3.12486e-006 +++to 3.12586e-006
Heightened Def Con from 3.12586e-006 +to 3.12586e-006
Heightened Def Con from 3.12586e-006 to 3.12587e-006
Heightened Def Con from 3.12587e-006 to 3.12587e-006
Heightened Def Con from 3.12587e-006 ++to 3.12587e-006
Heightened Def Con from 3.12587e-006 to 3.12587e-006
Heightened Def Con from 3.12587e-006 to 3.12587e-006
Heightened Def Con from 3.12587e-006 +++to 3.12601e-006
Heightened Def Con from 3.12601e-006 +to 3.12601e-006
Heightened Def Con from 3.12601e-006 to 3.12601e-006
Heightened Def Con from 3.12601e-006 +++to 3.12614e-006
Heightened Def Con from 3.12614e-006 ++to 3.12614e-006
Heightened Def Con from 3.12614e-006 to 3.12614e-006
Heightened Def Con from 3.12614e-006 ++to 3.12614e-006
Heightened Def Con from 3.12614e-006 +to 3.12614e-006
Heightened Def Con from 3.12614e-006 +to 3.12626e-006
Heightened Def Con from 3.12626e-006 to 3.12626e-006
Heightened Def Con from 3.12626e-006 +to 3.12626e-006
Heightened Def Con from 3.12626e-006 to 3.12626e-006
Heightened Def Con from 3.12626e-006 +to 3.12628e-006
Heightened Def Con from 3.12628e-006 to 3.1263e-006
Heightened Def Con from 3.1263e-006 ++to 3.12631e-006
Heightened Def Con from 3.12631e-006 to 3.12633e-006
Heightened Def Con from 3.12633e-006 to 3.12633e-006
Heightened Def Con from 3.12633e-006 to 3.12633e-006
Heightened Def Con from 3.12633e-006 +to 3.12645e-006
Heightened Def Con from 3.12646e-006 +to 3.12646e-006
Heightened Def Con from 3.12646e-006 ++to 3.12646e-006
Heightened Def Con from 3.12646e-006 ++to 3.12646e-006
Heightened Def Con from 3.12646e-006 +to 3.12646e-006
Heightened Def Con from 3.12646e-006 ++to 3.12646e-006
Heightened Def Con from 3.12646e-006 to 3.12646e-006
Heightened Def Con from 3.12646e-006 to 3.12646e-006
Heightened Def Con from 3.12646e-006 to 3.12646e-006
Heightened Def Con from 3.12646e-006 +to 3.12647e-006
Heightened Def Con from 3.12647e-006 +++++to 3.12649e-006
Heightened Def Con from 3.12649e-006 +++to 3.12661e-006
Heightened Def Con from 3.12661e-006 to 3.12661e-006
Heightened Def Con from 3.12661e-006 to 3.12761e-006
Heightened Def Con from 3.12761e-006 ++to 3.12761e-006
Heightened Def Con from 3.12761e-006 ++to 3.12761e-006
Heightened Def Con from 3.12761e-006 ++to 3.12761e-006
Heightened Def Con from 3.12761e-006 +to 3.12761e-006
Heightened Def Con from 3.12761e-006 to 3.12761e-006
Heightened Def Con from 3.12761e-006 +to 3.12774e-006
Heightened Def Con from 3.12774e-006 +to 3.12774e-006
Heightened Def Con from 3.12774e-006 +++++to 3.12775e-006
Heightened Def Con from 3.12775e-006 to 3.12775e-006
Heightened Def Con from 3.12775e-006 +to 3.12788e-006
Heightened Def Con from 3.12788e-006 ++to 3.128e-006
Heightened Def Con from 3.128e-006 to 3.128e-006
Heightened Def Con from 3.128e-006 to 3.12813e-006
Heightened Def Con from 3.12813e-006 to 3.12813e-006
Heightened Def Con from 3.12813e-006 to 3.12813e-006
Heightened Def Con from 3.12813e-006 +to 3.12913e-006
Heightened Def Con from 3.12913e-006 +to 3.12913e-006
Heightened Def Con from 3.12913e-006 +++to 3.12915e-006
Heightened Def Con from 3.12915e-006 to 3.12915e-006
Heightened Def Con from 3.12915e-006 +to 3.12915e-006
Heightened Def Con from 3.12915e-006 +to 3.12915e-006
Heightened Def Con from 3.12915e-006 +++++to 3.12915e-006
Heightened Def Con from 3.12915e-006 +to 3.12915e-006
Heightened Def Con from 3.12915e-006 ++to 3.12915e-006
Heightened Def Con from 3.12915e-006 +++to 3.12915e-006
