Circuit: * \\psf\Home\Documents\Lettuce Buddy HW\HealthyEC\LTSpice\miniec_WienBridge_Parallel.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 6.29666e-007 to 6.31666e-007
Heightened Def Con from 6.69846e-007 +to 6.69846e-007
Heightened Def Con from 6.69846e-007 to 6.71846e-007
Heightened Def Con from 6.73577e-007 to 6.75577e-007
Heightened Def Con from 7.61872e-007 +to 7.61872e-007
Heightened Def Con from 7.61873e-007 to 7.61873e-007
Heightened Def Con from 7.61873e-007 to 7.63873e-007
Heightened Def Con from 7.73417e-007 to 7.75417e-007
Heightened Def Con from 1.72782e-006 to 1.72782e-006
Heightened Def Con from 1.72782e-006 to 1.72782e-006
Heightened Def Con from 1.72782e-006 to 1.72895e-006
Heightened Def Con from 1.72926e-006 +to 1.72926e-006
Heightened Def Con from 1.72926e-006 to 1.72926e-006
Heightened Def Con from 1.72926e-006 to 1.73026e-006
Heightened Def Con from 1.73026e-006 +to 1.73026e-006
Heightened Def Con from 1.73026e-006 to 1.73026e-006
Heightened Def Con from 1.73026e-006 to 1.73138e-006
Heightened Def Con from 1.73138e-006 +to 1.73151e-006
Heightened Def Con from 1.73174e-006 to 1.73174e-006
Heightened Def Con from 1.73174e-006 to 1.73174e-006
Heightened Def Con from 1.73174e-006 to 1.73286e-006
Heightened Def Con from 1.73311e-006 to 1.73311e-006
Heightened Def Con from 1.73311e-006 to 1.73413e-006
Heightened Def Con from 1.73413e-006 to 1.73413e-006
Heightened Def Con from 1.73413e-006 to 1.73426e-006
Heightened Def Con from 1.73426e-006 to 1.73426e-006
Heightened Def Con from 1.73426e-006 to 1.73626e-006
Heightened Def Con from 1.73628e-006 +to 1.73628e-006
Heightened Def Con from 1.73628e-006 to 1.73641e-006
Heightened Def Con from 1.73641e-006 ++to 1.73641e-006
Heightened Def Con from 1.73641e-006 to 1.73753e-006
Heightened Def Con from 1.73828e-006 +to 1.73828e-006
Heightened Def Con from 1.73828e-006 to 1.73841e-006
Heightened Def Con from 1.73841e-006 to 1.73841e-006
Heightened Def Con from 1.73841e-006 to 1.73841e-006
Heightened Def Con from 1.73841e-006 to 1.73841e-006
Heightened Def Con from 1.73841e-006 to 1.73941e-006
Heightened Def Con from 1.73941e-006 to 1.73941e-006
Heightened Def Con from 1.73941e-006 +to 1.73941e-006
Heightened Def Con from 1.73941e-006 to 1.73953e-006
Heightened Def Con from 1.73953e-006 to 1.73953e-006
Heightened Def Con from 1.73953e-006 to 1.73966e-006
Heightened Def Con from 1.73966e-006 to 1.74078e-006
Heightened Def Con from 1.74079e-006 to 1.74091e-006
Heightened Def Con from 1.74091e-006 to 1.74093e-006
